BinarySort,almost_sorted,
size, sort time(clock),
,BinarySort,max
1000,659948,738634
2000,1426711,1965139
3000,2246767,2567940
4000,3077988,3629600
5000,4214467,6455397
6000,5045164,6377560
7000,5943972,7624110
8000,6831787,8688943
9000,7910226,9737457

BinarySort,generate_from_0_to_7,
size, sort time(clock),
,BinarySort,max
1000,2435699,2990890
2000,8129339,12071200
3000,16893376,20338804
4000,29262567,34022911
5000,44092607,50112212
6000,61455260,69252883
7000,85744289,103598195
8000,107806250,124868663
9000,135984714,161272864

BinarySort,generate_from_0_to_maxInt,
size, sort time(clock),
,BinarySort,max
1000,2486203,3313400
2000,9232598,11838411
3000,20772069,27259051
4000,32499149,37716108
5000,51039058,57245872
6000,73264357,102953493
7000,95510241,105808003
8000,124220686,136606597
9000,155286806,163006991

BinarySort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,BinarySort,max
1000,646585,909897
2000,1441421,1922491
3000,2293485,2779370
4000,3036616,3961873
5000,4048308,4948872
6000,4784990,6151512
7000,5708432,7291863
8000,6527555,8390446
9000,7641200,9763298

BinarySort,reverse_sorted,
size, sort time(clock),
,BinarySort,max
1000,4178270,5259536
2000,15780773,20020765
3000,33779965,39048419
4000,59965202,66485582
5000,94241926,119252321
6000,133566422,143791293
7000,181723167,206178663
8000,234066252,264473397
9000,299991461,367332996

,,,
BubbleSort,almost_sorted,
size, sort time(clock),
,BubbleSort,max
1000,3480763,4649634
2000,13779000,17305928
3000,30427460,40102569
4000,54146814,64167811
5000,83931575,92297485
6000,123002155,147244979
7000,164791282,178868095
8000,215378383,238248899
9000,272142236,309917511

BubbleSort,generate_from_0_to_7,
size, sort time(clock),
,BubbleSort,max
1000,6485142,8325128
2000,27227981,33646343
3000,68245644,96472981
4000,124078285,132974857
5000,202013999,229804749
6000,298251014,313179761
7000,415718264,432466432
8000,562003020,699206148
9000,760769520,1091496497

BubbleSort,generate_from_0_to_maxInt,
size, sort time(clock),
,BubbleSort,max
1000,7312552,9601585
2000,30619240,59630945
3000,71373912,76916730
4000,146906591,248469933
5000,220002039,492369055
6000,318248267,370227630
7000,474294977,853418329
8000,585824122,653683538
9000,748712649,886418516

BubbleSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,BubbleSort,max
1000,3382242,4463211
2000,15199491,18995755
3000,32398357,38836973
4000,59724422,169828164
5000,89362258,122202264
6000,129803940,185375156
7000,175282975,211667402
8000,228264799,410216541
9000,286699045,337469477

BubbleSort,reverse_sorted,
size, sort time(clock),
,BubbleSort,max
1000,9074586,11897920
2000,39811113,82250440
3000,85543293,118176936
4000,142940691,159728824
5000,224094220,256828925
6000,327338393,405390165
7000,443793953,525679130
8000,584162382,669017636
9000,738719355,884827803

,,,
Counting256,almost_sorted,
size, sort time(clock),
,Counting256,max
1000,90147,553079
2000,171527,382827
3000,245518,492264
4000,341553,548845
5000,380561,693872
6000,506604,1030155
7000,539317,823367
8000,737873,1037467
9000,680797,912255

Counting256,generate_from_0_to_7,
size, sort time(clock),
,Counting256,max
1000,132382,221739
2000,196117,300705
3000,239087,393265
4000,451234,1062114
5000,372744,725562
6000,536656,2119519
7000,496082,764406
8000,611208,1062042
9000,739859,1139614

Counting256,generate_from_0_to_maxInt,
size, sort time(clock),
,Counting256,max
---
---
---
---
---
---
---
---
---

Counting256,generate_sorted_from_0_to_8000,
size, sort time(clock),
,Counting256,max
1000,90499,197827
2000,165672,268119
3000,229204,246582
4000,398072,786225
5000,459810,658179
6000,502098,968197
7000,574683,1413812
8000,608501,854703
9000,682312,1169283

Counting256,reverse_sorted,
size, sort time(clock),
,Counting256,max
1000,107843,152014
2000,164922,271608
3000,258687,434701
4000,396519,1281488
5000,394627,745216
6000,605987,1702391
7000,738428,1182085
8000,883448,1839552
9000,744745,1404655

,,,
CountiongSort,almost_sorted,
size, sort time(clock),
,CountiongSort,max
1000,74928,85385
2000,157123,230194
3000,189980,808478
4000,208719,380651
5000,234730,440058
